replicates,canonical_smiles,cell_id,det_filename,det_plate,det_well,pert_batch_internal_compound_enumerator,pert_batch_internal_replicate,pert_dose,pert_dose_unit,pert_id,pert_iname,pert_time,pert_time_unit,pert_type,pert_vehicle,provenance_code,pubchem_cid,group
PA9.79EE.063F03,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_F03_acq_01,P-0013,F3,6,3,2,uM,0,Staurosporine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,F
PA9.79EE.062F02,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_F02_acq_01,P-0013,F2,6,2,2,uM,0,Staurosporine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,F
PA9.79EE.078G06,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_G06_acq_01,P-0013,G6,7,6,10,uM,0,Resveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,G
PA9.79EE.075G03,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_G03_acq_01,P-0013,G3,7,3,10,uM,0,Resveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,G
PA9.79EE.073G01,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_G01_acq_01,P-0013,G1,7,1,10,uM,0,Resveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,G
PA9.79EE.066F06,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_F06_acq_01,P-0013,F6,6,6,2,uM,0,Staurosporine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,F
PA9.79EE.007A07,CS(=O)C,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_A07_acq_01,P-0013,A7,1,7,0,uM,DMSO,DMSO,3,h,ctrl_vehicle,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,679,A
PA9.79EE.090H06,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_H06_acq_01,P-0013,H6,8,6,10,uM,0,Triacetylresveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,H
PA9.79EE.089H05,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_H05_acq_01,P-0013,H5,8,5,10,uM,0,Triacetylresveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,H
PA9.79EE.085H01,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_H01_acq_01,P-0013,H1,8,1,10,uM,0,Triacetylresveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,H
PA9.79EE.012A12,CS(=O)C,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_A12_acq_01,P-0013,A12,1,12,0,uM,DMSO,DMSO,3,h,ctrl_vehicle,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,679,A
PA9.79EE.019B07,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_B07_acq_01,P-0013,B7,2,7,1,uM,BRD-K81418486,SAHA,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,B
PA9.79EE.020B08,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_B08_acq_01,P-0013,B8,2,8,1,uM,BRD-K81418486,SAHA,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,B
PA9.79EE.021B09,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_B09_acq_01,P-0013,B9,2,9,1,uM,BRD-K81418486,SAHA,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,B
PA9.79EE.008A08,CS(=O)C,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_A08_acq_01,P-0013,A8,1,8,0,uM,DMSO,DMSO,3,h,ctrl_vehicle,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,679,A
PA9.79EE.009A09,CS(=O)C,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_A09_acq_01,P-0013,A9,1,9,0,uM,DMSO,DMSO,3,h,ctrl_vehicle,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,679,A
PA9.79EE.010A10,CS(=O)C,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_A10_acq_01,P-0013,A10,1,10,0,uM,DMSO,DMSO,3,h,ctrl_vehicle,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,679,A
PA9.79EE.011A11,CS(=O)C,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_A11_acq_01,P-0013,A11,1,11,0,uM,DMSO,DMSO,3,h,ctrl_vehicle,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,679,A
PA9.79EE.032C08,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_C08_acq_01,P-0013,C8,3,8,1,uM,BRD-K68202742,trichostatin A,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,C
PA9.79EE.033C09,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_C09_acq_01,P-0013,C9,3,9,1,uM,BRD-K68202742,trichostatin A,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,C
PA9.79EE.034C10,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_C10_acq_01,P-0013,C10,3,10,1,uM,BRD-K68202742,trichostatin A,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,C
PA9.79EE.035C11,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_C11_acq_01,P-0013,C11,3,11,1,uM,BRD-K68202742,trichostatin A,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,C
PA9.79EE.022B10,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_B10_acq_01,P-0013,B10,2,10,1,uM,BRD-K81418486,SAHA,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,B
PA9.79EE.023B11,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_B11_acq_01,P-0013,B11,2,11,1,uM,BRD-K81418486,SAHA,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,B
PA9.79EE.024B12,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_B12_acq_01,P-0013,B12,2,12,1,uM,BRD-K81418486,SAHA,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,B
PA9.79EE.031C07,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_C07_acq_01,P-0013,C7,3,7,1,uM,BRD-K68202742,trichostatin A,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,C
PA9.79EE.048D12,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_D12_acq_01,P-0013,D12,4,12,1,uM,0,5-Aza-2'-deoxycytidine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,D
PA9.79EE.047D11,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_D11_acq_01,P-0013,D11,4,11,1,uM,0,5-Aza-2'-deoxycytidine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,D
PA9.79EE.056E08,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_E08_acq_01,P-0013,E8,5,8,15,uM,0,Lanatoside C,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,E
PA9.79EE.055E07,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_E07_acq_01,P-0013,E7,5,7,15,uM,0,Lanatoside C,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,E
PA9.79EE.043D07,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_D07_acq_01,P-0013,D7,4,7,1,uM,0,5-Aza-2'-deoxycytidine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,D
PA9.79EE.036C12,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_C12_acq_01,P-0013,C12,3,12,1,uM,BRD-K68202742,trichostatin A,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,C
PA9.79EE.045D09,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_D09_acq_01,P-0013,D9,4,9,1,uM,0,5-Aza-2'-deoxycytidine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,D
PA9.79EE.044D08,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_D08_acq_01,P-0013,D8,4,8,1,uM,0,5-Aza-2'-deoxycytidine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,D
PA9.79EE.069F09,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_F09_acq_01,P-0013,F9,6,9,2,uM,0,Staurosporine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,F
PA9.79EE.067F07,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_F07_acq_01,P-0013,F7,6,7,2,uM,0,Staurosporine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,F
PA9.79EE.071F11,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_F11_acq_01,P-0013,F11,6,11,2,uM,0,Staurosporine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,F
PA9.79EE.070F10,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_F10_acq_01,P-0013,F10,6,10,2,uM,0,Staurosporine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,F
PA9.79EE.058E10,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_E10_acq_01,P-0013,E10,5,10,15,uM,0,Lanatoside C,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,E
PA9.79EE.057E09,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_E09_acq_01,P-0013,E9,5,9,15,uM,0,Lanatoside C,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,E
PA9.79EE.060E12,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_E12_acq_01,P-0013,E12,5,12,15,uM,0,Lanatoside C,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,E
PA9.79EE.059E11,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_E11_acq_01,P-0013,E11,5,11,15,uM,0,Lanatoside C,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,E
PA9.79EE.091H07,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_H07_acq_01,P-0013,H7,8,7,10,uM,0,Triacetylresveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,H
PA9.79EE.092H08,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_H08_acq_01,P-0013,H8,8,8,10,uM,0,Triacetylresveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,H
PA9.79EE.083G11,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_G11_acq_01,P-0013,G11,7,11,10,uM,0,Resveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,G
PA9.79EE.084G12,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_G12_acq_01,P-0013,G12,7,12,10,uM,0,Resveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,G
PA9.79EE.081G09,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_G09_acq_01,P-0013,G9,7,9,10,uM,0,Resveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,G
PA9.79EE.082G10,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_G10_acq_01,P-0013,G10,7,10,10,uM,0,Resveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,G
PA9.79EE.072F12,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_F12_acq_01,P-0013,F12,6,12,2,uM,0,Staurosporine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,F
PA9.79EE.079G07,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_G07_acq_01,P-0013,G7,7,7,10,uM,0,Resveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,G
PA9.79EE.095H11,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_H11_acq_01,P-0013,H11,8,11,10,uM,0,Triacetylresveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,H
PA9.79EE.096H12,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_H12_acq_01,P-0013,H12,8,12,10,uM,0,Triacetylresveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,H
PA9.79EE.093H09,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_H09_acq_01,P-0013,H9,8,9,10,uM,0,Triacetylresveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,H
PA9.79EE.094H10,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_H10_acq_01,P-0013,H10,8,10,10,uM,0,Triacetylresveratrol,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,H
